,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
0,"ADAMS, ELLIOTT",S0KS00190,KS,DEM,Open seat,Senate,"[2018, 2020]",[2020],DEM,N
1,"AHLERS, DAN",S0SD00070,SD,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"AUSBROOKS, JIMMY",S0KY00313,KY,DEM,Challenger,Senate,[2020],[2020],DEM,N
3,"BAER, DAN",S0CO00500,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
4,"BALLARD, JACK",S0MT00116,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
5,"BARTEE, TOBEY",S8MS00295,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,N
6,"BELL, ROBERT CHRISTOPHER MR.",S0TX00324,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
7,"BEN DAVID, MERAV",S0WY00152,WY,DEM,Open seat,Senate,[2020],[2020],DEM,C
8,"BILLINGS, DYLAN DR.",S0OK00339,OK,DEM,Challenger,Senate,[2020],[2020],DEM,N
9,"BLANTON, DERRICK JAMES",S0CO00427,CO,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,N
10,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,N
11,"BOLLIER, BARBARA",S0KS00323,KS,DEM,Open seat,Senate,[2020],[2020],DEM,C
12,"BOOKER, CORY A.",S4NJ00185,NJ,DEM,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",DEM,C
13,"BOYDA, NANCY E",S0KS00224,KS,DEM,Open seat,Senate,[2020],[2020],DEM,C
14,"BOYINGTON, MARCOS DAVID CARDOSO",S0CO00658,CO,DEM,Challenger,Senate,[2020],[2020],DEM,N
15,"BRADFORD, DAPHNE",S0CA00496,CA,DEM,Challenger,Senate,[2020],[2020],DEM,N
16,"BRADSHAW, MARQUITA",S0TN00342,TN,DEM,Open seat,Senate,[2020],[2020],DEM,C
17,"BRAY, DIANA",S0CO00492,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
18,"BRITT, ELYSABETH",S0OK00321,OK,DEM,Challenger,Senate,[2020],[2020],DEM,N
19,"BROIHIER, MICHAEL GEORGE",S0KY00321,KY,DEM,Challenger,Senate,[2020],[2020],DEM,C
0,"BROYLES, ABBY",S0OK00370,OK,DEM,Challenger,Senate,[2020],[2020],DEM,C
1,"BULLOCK, STEVE",S0MT00173,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"BURNES, ELLEN DR",S0CO00526,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
3,"COLLINS, WILMOT JAMES",S0MT00090,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
4,"COONS, CHRISTOPHER A.",S0DE00092,DE,DEM,Incumbent,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2010, 2014, 2020]",DEM,C
5,"COOPER, MICHAEL E PASTOR",S0TX00332,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
6,"COX, STEVEN JEWELL ISOM",S0KY00271,KY,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,C
7,"CUNNINGHAM, CAL",S0NC00202,NC,DEM,Challenger,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2010, 2020]",DEM,C
8,"DAVIS, GARY GENE",S2TN00082,TN,DEM,Open seat,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2006, 2008, 2012, 2014, 2018, 2020]",DEM,N
9,"DILLARD SMITH, MAYA",S0GA00500,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
10,"DURBIN, RICHARD J.",S6IL00151,IL,DEM,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",DEM,C
11,"EDWARDS, AMANDA",S0TX00258,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
12,"EDWARDS, DERRICK",S6LA00342,LA,DEM,Challenger,Senate,"[2016, 2018, 2020]","[2016, 2020]",DEM,N
13,"ESPY, MICHAEL",S8MS00287,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,C
14,"FOSTER, JACK DANIEL MR JR",S0TX00274,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
15,"FRANKEN, AL",S8MN00438,MN,DEM,Incumbent,Senate,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2008, 2014, 2020]",DEM,C
16,"FRANKEN, MICHAEL",S0IA00200,IA,DEM,Challenger,Senate,[2020],[2020],DEM,C
17,"FULLER, TREVOR MICHAEL",S0NC00285,NC,DEM,Challenger,Senate,[2020],[2020],DEM,C
18,"GARCIA, ANNE",S0TX00381,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
19,"GARCIA, LORENA LORENA FOR",S0CO00435,CO,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,C
0,"GIDEON, SARA",S0ME00111,ME,DEM,Challenger,Senate,[2020],[2020],DEM,C
1,"GRAHAM, KIMBERLY",S0IA00168,IA,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"GREENFIELD, THERESA",S0IA00176,IA,DEM,Challenger,Senate,[2020],[2020],DEM,C
3,"GRISSOM, BARRY",S0KS00232,KS,DEM,Open seat,Senate,[2020],[2020],DEM,C
4,"HAMM, LAWRENCE MR.",S0NJ00233,NJ,DEM,Challenger,Senate,[2020],[2020],DEM,C
5,"HARRIS, NANCY LYNN",S0ID00149,ID,DEM,Challenger,Senate,[2020],[2020],DEM,C
6,"HARRISON, JAIME",S0SC00289,SC,DEM,Challenger,Senate,[2020],[2020],DEM,C
7,"HART, CLARA M MS",S0SD00096,SD,DEM,Challenger,Senate,[2020],[2020],DEM,N
8,"HEGAR, MARY JENNINGS MJ",S0TX00233,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
9,"HERNANDEZ, SEMA",S0TX00290,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
10,"HICKENLOOPER, JOHN W.",S0CO00575,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
11,"HILLIARD, MAGGIE JO",S0KY00511,KY,DEM,Challenger,Senate,[2020],[2020],DEM,C
12,"HILLIARD, MAGGIE JO",S0KY00487,KY,DEM,Challenger,Senate,[2020],[2020],DEM,N
13,"HUNTER, DARREL REECE",S6TX00206,TX,DEM,Challenger,Senate,"[2006, 2020]","[2006, 2020]",DEM,N
14,"JACKSON, DEBORAH A",S0GA00591,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
15,"JANICEK, CHRIS EDWARD MR",S8NE00216,NE,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",DEM,C
16,"JOHNSON-SHEALEY, TAMARA",S0GA00484,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
17,"JOHNSTON, MICHAEL C",S0CO00468,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
18,"JONES, DOUG",S0AL00156,AL,DEM,Incumbent,Senate,"[2002, 2004, 2018, 2020]","[2002, 2018, 2020]",DEM,C
19,"JONES, MATT",S0KY00370,KY,DEM,Challenger,Senate,[2020],[2020],DEM,C
0,"JORDAN LAWLOR, MARILYN",S0IL00576,IL,DEM,Challenger,Senate,[2020],[2020],DEM,N
1,"JORDAN, PAULETTE",S0ID00180,ID,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"KELLY, MARK",S0AZ00350,AZ,DEM,Challenger,Senate,[2020],[2020],DEM,C
3,"KENNEDY, JOSEPH P III",H2MA04073,MA,DEM,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2014, 2016, 2018, 2020]",DEM,C
4,"KENNEDY, JOSEPH P III",S0MA00208,MA,DEM,Challenger,Senate,[2020],[2020],DEM,C
5,"KIDMAN, BRE MX.",S0ME00087,ME,DEM,Challenger,Senate,[2020],[2020],DEM,C
6,"KIMBROUGH, ROBIN",S0TN00268,TN,DEM,Open seat,Senate,[2020],[2020],DEM,C
7,"KNOX, JAMES",S0GA00674,GA,DEM,Challenger,Senate,[2020],[2020],DEM,N
8,"LAJEUNESSE, ROSS",S0ME00145,ME,DEM,Challenger,Senate,[2020],[2020],DEM,C
9,"LEITZEL, DUSTIN JOHN",S0CO00419,CO,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,C
10,"LIEBERMAN, MATTHEW",S0GA00468,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
11,"LISS-RIORDAN, SHANNON MS.",S0MA00166,MA,DEM,Challenger,Senate,[2020],[2020],DEM,C
12,"LONDON, CATHLEEN GREENBERG DR",S0ME00053,ME,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,C
13,"LOVE, JOHN BENARD III",S0TX00308,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
14,"LUDWIG, YANA",S0WY00129,WY,DEM,Open seat,Senate,[2020],[2020],DEM,C
15,"LUJAN, BEN RAY",S0NM00058,NM,DEM,Open seat,Senate,[2020],[2020],DEM,C
16,"MACEK, DENNIS FRANK",S0NE00106,NE,DEM,Challenger,Senate,[2020],[2020],DEM,C
17,"MACKLER, JAMES",S8TN00311,TN,DEM,Open seat,Senate,"[2018, 2020]","[2018, 2020]",DEM,C
18,"MADDEN, ALICE",S0CO00534,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
19,"MAHONY, JOSHUA MR.",S0AR00200,AR,DEM,Challenger,Senate,[2020],[2020],DEM,C
0,"MANSFIELD, ERIC",S0NC00327,NC,DEM,Challenger,Senate,[2020],[2020],DEM,C
1,"MARKEY, EDWARD J. SEN.",S4MA00028,MA,DEM,Incumbent,Senate,"[1984, 1986, 1988, 2014, 2016, 2018, 2020]","[1984, 2014, 2020]",DEM,C
2,"MARVIN, LARRY",S8NE00141,NE,DEM,Challenger,Senate,"[2008, 2012, 2014, 2016, 2018, 2020]","[2008, 2012, 2014, 2018, 2020]",DEM,C
3,"MAURO, EDDIE J",S0IA00150,IA,DEM,Challenger,Senate,[2020],[2020],DEM,C
4,"MCCRACKEN, TRICIA",S0GA00666,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
5,"MCGRATH, AMY",S0KY00339,KY,DEM,Challenger,Senate,[2020],[2020],DEM,C
6,"MERKLEY, JEFFREY ALAN",S8OR00207,OR,DEM,Incumbent,Senate,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2008, 2014, 2020]",DEM,C
7,"MUES, JOHN",S0MT00108,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
8,"NEUMANN, CORA",S0MT00132,MT,DEM,Challenger,Senate,[2020],[2020],DEM,C
9,"OCEGUEDA, ADRIAN",S0TX00225,TX,DEM,Challenger,Senate,[2020],[2020],DEM,C
10,"OJEDA, RICHARD",S0WV00249,WV,DEM,Challenger,Senate,[2020],[2020],DEM,C
11,"OSSOFF, T. JONATHAN",S8GA00180,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
12,"PEMBERTON, STEVE",S0MA00182,MA,DEM,Challenger,Senate,[2020],[2020],DEM,C
13,"PETERS, GARY",S4MI00355,MI,DEM,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",DEM,C
14,"PHILIPS, ANGELIC MARIE",S0NE00072,NE,DEM,Challenger,Senate,[2020],[2020],DEM,C
15,"PICKRELL, MARK",S0TN00284,TN,DEM,Open seat,Senate,[2020],[2020],DEM,C
16,"PIERCE, ANTOINE",S0LA00311,LA,DEM,Challenger,Senate,[2020],[2020],DEM,C
17,"POTTRATZ, KEITH ALLEN",S0CO00443,CO,DEM,Challenger,Senate,"[2018, 2020]",[2020],DEM,N
18,"REDDI, USHA",S0KS00307,KS,DEM,Open seat,Senate,[2020],[2020],DEM,P
19,"REED, JOHN F.",S6RI00163,RI,DEM,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",DEM,C
0,"RIGGS AMICO, SARAH",S0GA00401,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
1,"ROBB, RICHARD ALLEN",S0WV00256,WV,DEM,Challenger,Senate,[2020],[2020],DEM,C
2,"ROGERS, BEVON",S0OK00354,OK,DEM,Challenger,Senate,[2020],[2020],DEM,N
3,"ROMANOFF, ANDREW",S0CO00286,CO,DEM,Challenger,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2010, 2020]",DEM,C
4,"ROTHMULLER, ERIC",S0KY00388,KY,DEM,Challenger,Senate,[2020],[2020],DEM,N
5,"SCARANE, JESSICA",S0DE00175,DE,DEM,Challenger,Senate,[2020],[2020],DEM,C
6,"SHAHEEN, JEANNE",S0NH00219,NH,DEM,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",DEM,C
7,"SHELTON, ALISHA",S0NE00098,NE,DEM,Challenger,Senate,[2020],[2020],DEM,C
8,"SHOUSE, HAROLD SHELBY MR JR",S0GA00435,GA,DEM,Challenger,Senate,[2020],[2020],DEM,N
9,"SMITH, ERICA DANETTE",S0NC00343,NC,DEM,Challenger,Senate,[2020],[2020],DEM,C
10,"SMITH, TINA",S8MN00578,MN,DEM,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",DEM,C
11,"SPAULDING, STEPHANY ROSE",S0CO00484,CO,DEM,Challenger,Senate,[2020],[2020],DEM,C
12,"STAVA-MURRAY, ANNE MICHELE MOST RECEN",S0IL00493,IL,DEM,Challenger,Senate,[2020],[2020],DEM,N
13,"SWEARENGIN, PAULA JEAN",S0WV00215,WV,DEM,Challenger,Senate,[2020],[2020],DEM,C
14,"SWEET, BETSY",S0ME00103,ME,DEM,Challenger,Senate,[2020],[2020],DEM,C
15,"SWENSON, STEVE",S0NC00368,NC,DEM,Challenger,Senate,[2020],[2020],DEM,N
16,"TARVER, EDWARD J.",S0GA00583,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
17,"TERRY, EDWARD",S0GA00419,GA,DEM,Challenger,Senate,[2020],[2020],DEM,C
18,"TILLMAN, ROBERT LEON",S0KS00265,KS,DEM,Open seat,Senate,[2020],[2020],DEM,N
19,"TINUBU, GLORIA BROMELL DR.",S0SC00305,SC,DEM,Challenger,Senate,[2020],[2020],DEM,C
